Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
FGFR4,P22455,NP_998812,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCL11A,Q9H165,NP_001392637,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EPAS1,Q99814,NP_001421,0,"Paraskevi Saridaki (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ZPBP2,Q6X784,NP_955353,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RAG1,P15918,NP_000439,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MAPK15,Q8TD08,NP_620590,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ATF3,P18847,NP_001665,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FGFR2,P21802,NP_000132,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NABP2,Q9BQ15,NP_076973,0,"Angeliki Vliora (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PBX1,P40424,NP_002576,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CTNND1,O60716,NP_001078927,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MITF,O75030,NP_001341533,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NCOA4,Q13772,NP_001138735,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
LIFR,P42702,NP_001121143,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FAS,P25445,NP_000034,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SMC1A,Q14683,NP_006297,0,"Burcu Aykac Fas (LBT-IBPC, Paris, France)",,,,AFDB,AlphaFold database,False,,
MAST4,O15021,NP_001158136,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CFTR,P13569,NP_000483,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ATF2,P15336,NP_001243019,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
SDHC,Q99643,NP_002992,0,"Guglielmo Tedeschi (UCT, Czech Republic)",,,,AFDB,AlphaFold database,False,,
SIRPB1-3,Q5TFQ8,NP_001129316,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
NUTM1,Q86Y26,NP_786883,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RARB,P10826,NP_001277145,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BAZ1A,Q9NRL2,NP_038476,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTPRD,P23468,NP_002830,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MBD4,O95243,NP_003916,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PDIA2,Q13087,NP_006840,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STK31,Q9BXU1,NP_113602,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SMARCD1,Q96GM5,NP_003067,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech republic)",,,,AFDB,AlphaFold database,False,,
CBLB,Q13191,NP_733762,0,"Anu Oswal (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FH,P07954,NP_000134,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark), Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HIPK1,Q86Z02,NP_938009,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
H1-2,Q96KK5,NP_542163,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CCDC3,Q9BQI4,NP_113643,2,"Alessia Campo (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ccdc3,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DUSP22,Q9NRW4,NP_064570,0,"Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ARHGAP35,Q9NRY4,NP_004482,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG9B,Q674R7,NP_001303985,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FANCD2,Q9BXW9,NP_001018125,0,"Anu Oswal (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG12,O94817,NP_004698,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg12,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
C2CD4C,Q8TF44,NP_001129735,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
C8ORF74,Q6P047,NP_001035121,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATM,Q13315,NP_000042,2,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atm/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NRK,Q7Z2Y5,NP_940867,0,"Matteo Tiberti (DCI, Denmark), Eirini Giannakopoulou (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ARID3B,Q8IVW6,NP_001294868,2,"Joachim Breitenstein (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/arid3b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PDGFRB,P09619,NP_002600,0,"Natalia Feced Garcia (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CCL8,P80075,NP_005614,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PMS2,P54278,NP_000526,2,"Ludovica Beltrame (DTU, Denmark, DCI, Denmark), Matteo Arnaudi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/pms2/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
GYPC,P04921,NP_002092,0,"Beatrice Drago (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NFIB,O00712,NP_005587,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PABPC1,P11940,NP_002559,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NFKBIE,O00221,,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark), Mattia Utichi (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CAMKK1,Q8N5S9,NP_115670,2,"Matteo Lambrughi (DCI, Denmark), Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/camkk1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
WRN,Q14191,NP_000544,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ID3,Q02535,NP_002158,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ATG4D,Q86TL0,NP_116274,0,"Mattia Utichi (DCRC, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BCORL1,Q5H9F3,NP_001366380,0,"Subhayan Akhuli (DTU, Denmark), Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
LMO4,P61968,NP_006760,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TP53RK,Q96S44,NP_291028,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DEFB108B,Q8NET1,NP_001002035,0,"Laura Kappel (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
DNAJC30,Q96LL9,NP_115693,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
PAK3,O75914,NP_001121645,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CBLC,Q9ULV8,NP_036248,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PHF6,Q8IWS0,NP_001015877,0,"Paraskevi Saridaki (DCI, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MDM4,O15151,NP_002384,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GATA3,P23771,NP_002042,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark), Pablo Sanchez-Izquierdo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
KNL1,Q8NG31,NP_733468,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NCOR2,Q9Y618,NP_006303,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SAA1,P0DJI8,NP_954630,0,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PTPRC,P08575,NP_002829,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ABI1,Q8IZP0,NP_005461,2,"Laura Kappel (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/abi1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
INHA,P05111,NP_002182,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FOXM1,Q08050,NP_068772,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MAGEC1,O60732,NP_005453,0,"Kristine Degn (DCI, Denmark, DTU, Denmark), Matteo Tiberti (DCI, Denmark)",,,,,,,,
NEK6,Q9HC98,NP_001159640,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BECN1,Q14457,NP_001300927,1,"Zeming Hou (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/becn1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATG13,O75143,NP_001333255,2,"Mattia Utichi (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/atg-proteins/atg13,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HRAS,P01112,NP_001123914,2,"Matteo Tiberti (DCI, Denmark), Ludovica Beltrame (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/hras/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MYH7,P12883,NP_000248,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FEV,Q99581,NP_059991,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CHD8,Q9HCK8,NP_001164100,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
VRK2,Q86Y07,NP_001123952,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
FUNDC1,Q8IVP5,NP_776155,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NTRK3,Q16288,NP_001012338,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ACSM5,Q6NUN0,NP_060358,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
RECQL5,O94762,NP_004250,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EIF4A2,Q14240,NP_001958,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
SPI1,P17947,NP_003111,0,"Anna Melidi (DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SDHAF2,Q9NX18,NP_060311,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MUC1,P15941,,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/muc1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AP2A1,O95782,NP_055018,2,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ap2a1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PITX3,O75364,NP_005020,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
L2HGDH,Q9H9P8,NP_079160,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
FANCA,O15360,NP_000126,2,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/fanca/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DGCR8,Q8WYQ5,NP_073557,2,"Edene-Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dgcr8/,,,AFDB,AlphaFold database,False,,
CDH4,P55283,NP_001785,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
LMTK2,Q8IWU2,NP_055731,0,"Matteo Tiberti (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RIOK3,O14730,NP_003822,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FFAR3,O14843,NP_005295,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
REST,Q13127,NP_005603,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
IFNL3,Q8IZI9,NP_742151,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TPM3,P06753,NP_689476,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
AFF4,Q9UHB7,NP_055238,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TFAP4,Q01664,NP_003214,0,"Anna Melidi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
RPL28,P46779,NP_000982,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
DDB2,Q92466,NP_000098,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
TRAF6,Q9Y4K3,NP_004611,0,"Anna Melidi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ZNF575,Q86XF7,NP_777605,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/znf575,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
S100A7A,Q86SG5,NP_789793,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ADD3,Q9UEY8,NP_058432,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GXYLT1,Q4G148,NP_775872,0,"Lorenzo Favaro (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MEI1,Q5TIA1,NP_689726,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CYSLTR2,Q9NS75,NP_001295405,0,"Karolina Krzesińska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
KDM6A,O15550,NP_066963,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TOP1,P11387,NP_003277,0,"Paraskevi Saridaki (DCI, Denmark), Eleni Kiachaki (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CREB1,P16220,NP_004370,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GDNF,P39905,NP_000505,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EBF1,Q9UH73,NP_076870,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
DEK,P35659,NP_003463,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATAD3A,Q9NVI7,NP_001164006,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
ARID1B,Q8NFD5,NP_059989,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
APC,P25054,NP_001120982,0,"Anna Melidi (DTU, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
VRK3,Q8IV63,NP_057524,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CDK4,P11802,NP_000066,2,"Jeremy Vinhas (DCI, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk4,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NT5C2,P49902,NP_001338098,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NLRP12,P59046,NP_653288,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SMAD4,Q13485,NP_005350,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CARD11,Q9BXL7,NP_115791,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
USP44,Q9H0E7,NP_115523,0,"Karolina Krzesińska (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
MRAS,O14807,NP_001078518,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
EIF3E,P60228,NP_001559,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NEK3,P51956,NP_002489,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NEK11,Q8NG66,NP_001308149,0,"Tiberti Matteo (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
STK33,Q9BYT3,NP_001339318,0,"Matteo Tiberti (DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RB1CC1,Q8TDY2,NP_055596,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
H3-5,Q6NXT2,NP_001013721,0,"Angeliki Vliora (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
CSNK1G1,Q9HCP0,NP_071331,1,"Eleni Kiachaki (DCI, Denmark, DTU, Denmark), Philipp Becker (DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/csnk1g1/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRKAB1,Q9Y478,NP_006244,0,"Mattia Utichi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CDK15,Q96Q40,NP_001353315,2,"Jeremy Vinhas (DCI, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/cdk-proteins/cdk15,,,AFDB,AlphaFold database,False,,
MAP2K1,Q02750,NP_002746,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
IL6ST,P40189,NP_002175,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
HABP2,Q14520,NP_004123,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
PRAMEF5,Q5TYX0,NP_001013425,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark), Matteo Tiberti (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
SAMD9,Q5K651,NP_060124,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NAF1,Q96HR8,NP_612395,0,"Konstantina Gkopi (DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TXNDC2,Q86VQ3,NP_001091999,0,"Lorenzo Favaro (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DNMT3A,Q9Y6K1,NP_072046,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FGF4,P08620,NP_001998,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
BNIP3,Q12983,NP_004043,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
ZNF738,Q8NE65,NP_001342166,0,"Martina Bellini (DTU, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
SPATC1,Q76KD6,NP_940974,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
FABP3,P05413,NP_004093,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
PACSIN3,Q9UKS6,NP_057307,0,"Karolina Krzesinska (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
GRIN3B,O60391,NP_619635,2,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/grin3b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
STKLD1,Q8NE28,NP_714921,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CLTC,Q00610,NP_004850,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
NPTX1,Q15818,NP_002513,0,Guglielmo Tedeschi ('UCT Czech Republic'),,,,AFDB,AlphaFold database,False,,
ERG,P11308,NP_891548,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CBFA2T3,O75081,NP_005178,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,,,,,
STAT3,P40763,NP_001356442,2,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/stat3/,,,AFDB,AlphaFold database,False,,
ACVR1B,P36896,NP_004293,2,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/acvr-proteins/acvr1b,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
AQP12B,A6NM10,,0,"Guglielmo Tedeschi (UCT, Czech Republic, DCI, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HRNR,Q86YZ3,NP_001009931,0,"Martina Bellini (DTU, Denmark)",,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
BCL2A1,Q16548,NP_004040,2,"Matteo Lambrughi (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bcl-proteins/bcl2a1,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
BOK,Q9UMX3,NP_115904,2,"Julie Bruun Brockhoff (DCI, Denmark, DTU, Denmark), Mattia Utichi (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/bok,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CCND3,P30281,NP_001751,2,"Jeremy Vinhas (DCI, Denmark), Matteo Tiberti (DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/ccnd3/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
HOXA13,P31271,NP_000513,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
MEAK7,Q6P9B6,NP_065998,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/meak7,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
DHX34,Q14147,NP_055496,2,"Edene-Levine (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/dhx34/,,,AFDB,AlphaFold database,False,,
FGF3,P11487,NP_005238,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
TRIM48,Q8IWZ4,NP_077019,2,"Beatrice Drago (DTU, Denmark, DCI, Denmark)",https://elelab.gitbook.io/mavisp/proteins/trim48,5.5,atomic_contacts,AF3,AlphaFold3 webserver,False,,
TBCK,Q8TEA7,NP_001156907,0,"Edene-Levine (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ARHGEF37,A1IGU5,NP_001001669,0,"Paraskevi Saridaki (DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
